PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08PuP,6k1/p5b1/2P1p2p/4r1p1/1Q1N4/P7/KP4PP/5q2 b - - 1 39,e5d5 c6c7 f1a6 b4b8 g8f7 c7c8q a6c8 b8c8,1943,74,92,2531,advancedPawn advantage endgame exposedKing promotion veryLong,https://lichess.org/Pjw3csjw/black#78,
08Pxi,r4rk1/pb2qpp1/1p2p2p/2pnP2P/4Q1P1/3B1N2/PPP5/2KR3R b - - 1 18,d5f6 e5f6 b7e4 f6e7,1432,103,24,28,advancedPawn advantage middlegame short,https://lichess.org/pIP7uDnU/black#36,French_Defense French_Defense_Rubinstein_Variation
08Pxr,r2qk2r/pppb2pp/2nbp3/3pNp1Q/3Pn3/3BP1B1/PPPN1PPP/R3K2R b KQkq - 9 9,e8f8 h5f7,1419,113,36,31,master mate mateIn1 middlegame oneMove,https://lichess.org/WczJVPo8/black#18,Horwitz_Defense Horwitz_Defense_Other_variations
08PzC,r1bq1rk1/ppp1bppp/2n1pn2/6B1/3P4/2NB1N2/PPP2PPP/R2QK2R b KQ - 6 8,c6d4 f3d4 d8d4 d3h7 f6h7 d1d4,1548,75,94,1856,advantage discoveredAttack kingsideAttack long opening,https://lichess.org/RQYzsx58/black#16,Nimzowitsch_Defense Nimzowitsch_Defense_Other_variations
08Q0S,8/1p6/1P5R/3Kp1p1/2r2b2/2k5/1R6/8 w - - 2 43,b2c2 c3c2 d5c4 e5e4 h6h7 e4e3,2001,75,99,159,crushing endgame long quietMove,https://lichess.org/mxQ6q5Ky#85,
08QBB,2Q5/3P1bk1/p7/1p6/8/P3P3/5PP1/1qn3K1 w - - 1 48,d7d8q c1e2 g1h2 b1g1 h2h3 g1h1 h3g4 h1h5,2073,75,94,1069,endgame,https://lichess.org/UtRtiNae#95,
08QCN,r1b1r1k1/2p1bppp/p7/1p6/3PN3/7P/PP3PP1/R1B1R1K1 b - - 0 16,e7b4 e4f6 g7f6 e1e8,884,82,84,179,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/NGWg92l8/black#32,Italian_Game Italian_Game_Classical_Variation
08QEz,r3k2r/pp2bppp/2pPP3/2qn4/5B2/7P/P1P1Q1P1/R4R1K b kq - 2 19,d5f4 e6f7 e8f7 e2e7 f7g6 f1f4,2181,75,97,193,advancedPawn attackingF2F7 attraction crushing discoveredAttack long middlegame pin,https://lichess.org/GBdUKYtZ/black#38,
08QFD,5rk1/p1p1bp1p/bp2p3/3q2P1/5p1P/1P1P4/P1PB1P2/R2Q1RK1 w - - 0 24,d2f4 a6b7 f2f3 d5d4 f1f2 d4f4,1772,74,92,229,advantage fork long middlegame quietMove,https://lichess.org/S7jPU6dH#47,
08QFG,5r1k/6r1/p3Q3/1pp5/5q2/2P2b2/PP4PP/4RRK1 w - - 0 30,f1f3 g7g2 g1g2 f4f3,2204,76,91,705,advantage attraction endgame intermezzo short,https://lichess.org/ERf3PN2G#59,
